createdAt,updatedAt,CategoryId,ProductId,,,,,,,,,,
"""2017-12-05 21:49:55.858-05""","""2017-12-05 21:49:55.858-05""",1,1,,,,,,,,,,
"""2017-12-05 21:49:55.858-05""","""2017-12-05 21:49:55.858-05""",3,1,,,,,,,,,,
"""2017-12-05 21:49:55.858-05""","""2017-12-05 21:49:55.858-05""",10,1,,,,,,,,,,
"""2017-12-05 21:49:55.858-05""","""2017-12-05 21:49:55.858-05""",2,2,,,,,,,,,,
"""2017-12-05 21:49:55.858-05""","""2017-12-05 21:49:55.858-05""",11,2,,,,,,,,,,
"""2017-12-05 21:49:55.858-05""","""2017-12-05 21:49:55.858-05""",1,3,,,,,,,,,,
"""2017-12-05 21:49:55.858-05""","""2017-12-05 21:49:55.858-05""",5,3,,,,,,,,,,
"""2017-12-05 21:49:55.858-05""","""2017-12-05 21:49:55.858-05""",12,3,,,,,,,,,,
"""2017-12-05 21:49:55.858-05""","""2017-12-05 21:49:55.858-05""",1,4,,,,,1,user1@test.com,FALSE,$2a$10$MO8R5bTNOpg/9yTzsqx50e1HTSElg23wuWEJl.jtKNBXSgfaPhNTG,"""2017-12-05 21:49:55.858-05""","""2017-12-05 21:49:55.858-05"""
"""2017-12-05 21:49:55.858-05""","""2017-12-05 21:49:55.858-05""",3,4,,,,,2,user2@test.com,FALSE,$2a$10$BwHZ8R7qidxcgYl7kyOmQ.AwVG5ap4wWeSP6WZYLPVYAyLOhRSIV6,"""2017-12-05 21:49:55.858-05""","""2017-12-05 21:49:55.858-05"""
"""2017-12-05 21:49:55.858-05""","""2017-12-05 21:49:55.858-05""",5,4,,,,,3,user3@test.com,FALSE,$2a$10$8zo9mdPi2MESa4bvJc2f5uZ33vxmxu/dmd1bpeKRx1EaK9V2qmlFi,"""2017-12-05 21:49:55.858-05""","""2017-12-05 21:49:55.858-05"""
"""2017-12-05 21:49:55.858-05""","""2017-12-05 21:49:55.858-05""",13,4,,,,,,,,,,
"""2017-12-05 21:49:55.858-05""","""2017-12-05 21:49:55.858-05""",1,5,,,,,,,,,,
"""2017-12-05 21:49:55.858-05""","""2017-12-05 21:49:55.858-05""",12,5,,,,,,,,,,
"""2017-12-05 21:49:55.858-05""","""2017-12-05 21:49:55.858-05""",14,5,,,,,,,,,,
"""2017-12-05 21:49:55.858-05""","""2017-12-05 21:49:55.858-05""",2,6,,,,,,,,,,
"""2017-12-05 21:49:55.858-05""","""2017-12-05 21:49:55.858-05""",3,6,,,,,,,,,,
"""2017-12-05 21:49:55.858-05""","""2017-12-05 21:49:55.858-05""",7,6,,,,,,,,,,
"""2017-12-05 21:49:55.858-05""","""2017-12-05 21:49:55.858-05""",2,7,,,,,,,,,,
"""2017-12-05 21:49:55.858-05""","""2017-12-05 21:49:55.858-05""",5,7,,,,,,,,,,
"""2017-12-05 21:49:55.858-05""","""2017-12-05 21:49:55.858-05""",12,7,,,,,,,,,,
"""2017-12-05 21:49:55.858-05""","""2017-12-05 21:49:55.858-05""",14,7,,,,,,,,,,
"""2017-12-05 21:49:55.858-05""","""2017-12-05 21:49:55.858-05""",1,8,,,,,,,,,,
"""2017-12-05 21:49:55.858-05""","""2017-12-05 21:49:55.858-05""",5,8,,,,,,,,,,
"""2017-12-05 21:49:55.858-05""","""2017-12-05 21:49:55.858-05""",13,8,,,,,,,,,,
"""2017-12-05 21:49:55.858-05""","""2017-12-05 21:49:55.858-05""",12,9,,,,,,,,,,
"""2017-12-05 21:49:55.858-05""","""2017-12-05 21:49:55.858-05""",16,9,,,,,,,,,,
"""2017-12-05 21:49:55.858-05""","""2017-12-05 21:49:55.858-05""",2,9,,,,,,,,,,
"""2017-12-05 21:49:55.858-05""","""2017-12-05 21:49:55.858-05""",2,10,,,,,,,,,,
"""2017-12-05 21:49:55.858-05""","""2017-12-05 21:49:55.858-05""",4,10,,,,,,,,,,
